"Project","ProjectKey","Repository","Slug","RepoUrl","DefaultBranch","MetadataSizeMB","IsDisabled"
"bbs-migration-demo","BBSMIG","calotracker","calotracker","http://20.84.89.88:7990/scm/bbsmig/calotracker.git","main","3","False"
"bbs-migration-demo","BBSMIG","lab8","lab8","http://20.84.89.88:7990/scm/bbsmig/lab8.git","N/A","0.21","False"
"bbs-migration-demo","BBSMIG","MavenHelloWorld","mavenhelloworld","http://20.84.89.88:7990/scm/bbsmig/mavenhelloworld.git","master","0.03","False"
"bbs-migration-demo","BBSMIG","solar-system","solar-system","http://20.84.89.88:7990/scm/bbsmig/solar-system.git","main","2.04","False"
"bbs-migration-demo","BBSMIG","solid-api","solid-api","http://20.84.89.88:7990/scm/bbsmig/solid-api.git","master","0.6","False"
"bbs-migration-demo","BBSMIG","test-feb9","test-feb9","http://20.84.89.88:7990/scm/bbsmig/test-feb9.git","N/A","0.00","False"
"bbs-migration-demo","BBSMIG","Test21","test21","http://20.84.89.88:7990/scm/bbsmig/test21.git","main","0.16","False"
"bbs-migration-demo","BBSMIG","voting_app","voting_app","http://20.84.89.88:7990/scm/bbsmig/voting_app.git","N/A","0.04","False"
"test1","TESTB","repo3","repo3","http://20.84.89.88:7990/scm/testb/repo3.git","N/A","0.00","False"
"test1","TESTB","repo4","repo4","http://20.84.89.88:7990/scm/testb/repo4.git","N/A","0.00","False"
"test2","TEST","repo1","repo1","http://20.84.89.88:7990/scm/test/repo1.git","N/A","0.00","False"
"test2","TEST","repo2","repo2","http://20.84.89.88:7990/scm/test/repo2.git","N/A","0.00","False"
